Ruth Hildebrandt,09/03/2021,L,7,0741414254,ruth_hildebrandt@fake.com,Nasaud Bistrita-Nasaud
Ruth Hildebrandt,09/03/2021,L,15,0741414254,ruth_hildebrandt@fake.com,Nasaud Bistrita-Nasaud
Ruth Hildebrandt,09/03/2021,L,25,0741414254,ruth_hildebrandt@fake.com,Nasaud Bistrita-Nasaud
Ruth Hildebrandt,09/03/2021,L,1,0741414254,ruth_hildebrandt@fake.com,Nasaud Bistrita-Nasaud
Paul Aguilar,08/03/2021,B,29,0743806999,paul_aguilar@yahoo.com,Gilau Cluj
Paul Aguilar,08/03/2021,B,11,0743806999,paul_aguilar@yahoo.com,Gilau Cluj
Paul Aguilar,08/03/2021,B,24,0743806999,paul_aguilar@yahoo.com,Gilau Cluj
Paul Aguilar,08/03/2021,B,18,0743806999,paul_aguilar@yahoo.com,Gilau Cluj
Felicia Oathout,17/03/2021,H,8,0745892694,felicia_oathout@yahoo.com,Floresti Cluj
Felicia Oathout,17/03/2021,H,9,0745892694,felicia_oathout@yahoo.com,Floresti Cluj
Felicia Oathout,17/03/2021,H,25,0745892694,felicia_oathout@yahoo.com,Floresti Cluj
Keith Hill,13/03/2021,M,9,0740630848,keith_hill@fake.com,Oradea Bihor
Keith Hill,13/03/2021,M,19,0740630848,keith_hill@fake.com,Oradea Bihor
Dorothy Robbins,09/03/2021,C,22,0740910768,dorothy_robbins@gmail.com,Gilau Cluj
Dorothy Robbins,09/03/2021,C,22,0740910768,dorothy_robbins@gmail.com,Gilau Cluj
John Sciancalepore,04/03/2021,B,3,0746302779,john_sciancalepore@ubb.com,Floresti Cluj
Ruth Perez,12/03/2021,Y,23,0746927318,ruth_perez@gmail.com,Sibiu Sibiu
William Morrison,01/03/2021,C,20,0746833601,william_morrison@yahoo.com,Gilau Cluj
William Morrison,01/03/2021,C,2,0746833601,william_morrison@yahoo.com,Gilau Cluj
Willie Johnson,14/03/2021,F,26,0743869595,willie_johnson@yahoo.com,Bistrita Bistrita-Nasaud
